Metric,Value
read_bandwidth_Bps,1755674774
write_bandwidth_Bps,293196036
total_bandwidth_Bps,2048870810
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.3201360640625
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,3.559305
queueing_latency_ns_avg,2.847444
row_hits,10463849
row_misses,9774925
row_conflicts,15446665
row_hit_rate_perc,29.32246118648001
row_miss_rate_perc,27.391914668613154
row_conflict_rate_perc,43.28562414490683
avg_req_queue_length,0.347475
total_active_cycles_rw,1115857187
dram_cycles_simulated,5573480000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,154012404
read_requests_total,30578855
write_requests_total,5106632
