Metric,Value
read_bandwidth_Bps,692060426
write_bandwidth_Bps,114100143
total_bandwidth_Bps,806160569
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.12596258890625
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,5.516221
queueing_latency_ns_avg,4.412977
row_hits,4071850
row_misses,6410353
row_conflicts,1074663
row_hit_rate_perc,35.233167884788145
row_miss_rate_perc,55.46791837856387
row_conflict_rate_perc,9.29891373664798
avg_req_queue_length,0.112135
total_active_cycles_rw,331887672
dram_cycles_simulated,4587420000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,103333700
read_requests_total,9921163
write_requests_total,1635704
