Metric,Value,Description
ramulator.active_cycles_0,40036851,Total active cycles for level _0
ramulator.active_cycles_0_0,11264461,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,4368997,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,7099625,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,15412454,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,7058853,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,8788214,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,9102021,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,3280592,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,6045432,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,9545335,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,5611093,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,4154788,Total active cycles for level _0_3_1
ramulator.active_cycles_1,30050603,Total active cycles for level _1
ramulator.active_cycles_10,28862913,Total active cycles for level _10
ramulator.active_cycles_10_0,7797443,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,3498224,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,4494337,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,10796048,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,5344101,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,5656374,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,6807748,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,3034337,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,3989129,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,8185725,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,3694647,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,4698437,Total active cycles for level _10_3_1
ramulator.active_cycles_11,19545324,Total active cycles for level _11
ramulator.active_cycles_11_0,6180667,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,2926259,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,3452063,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,6272088,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,3228041,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,3252983,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,5930307,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,3058464,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,3095836,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,5953801,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,3096805,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,3070219,Total active cycles for level _11_3_1
ramulator.active_cycles_12,22911784,Total active cycles for level _12
ramulator.active_cycles_12_0,6689351,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,3634835,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,3250421,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,7218501,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,3637586,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,3782964,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,7452406,Total active cycles for level _12_2
ramulator.active_cycles_12_2_0,3054113,Total active cycles for level _12_2_0
ramulator.active_cycles_12_2_1,4615681,Total active cycles for level _12_2_1
ramulator.active_cycles_12_3,6352297,Total active cycles for level _12_3
ramulator.active_cycles_12_3_0,3250325,Total active cycles for level _12_3_0
ramulator.active_cycles_12_3_1,3316523,Total active cycles for level _12_3_1
ramulator.active_cycles_13,30200944,Total active cycles for level _13
ramulator.active_cycles_13_0,9077966,Total active cycles for level _13_0
ramulator.active_cycles_13_0_0,3710586,Total active cycles for level _13_0_0
ramulator.active_cycles_13_0_1,5560105,Total active cycles for level _13_0_1
ramulator.active_cycles_13_1,9519227,Total active cycles for level _13_1
ramulator.active_cycles_13_1_0,5932053,Total active cycles for level _13_1_0
ramulator.active_cycles_13_1_1,3794698,Total active cycles for level _13_1_1
ramulator.active_cycles_13_2,9680146,Total active cycles for level _13_2
ramulator.active_cycles_13_2_0,3150539,Total active cycles for level _13_2_0
ramulator.active_cycles_13_2_1,6749392,Total active cycles for level _13_2_1
ramulator.active_cycles_13_3,6709795,Total active cycles for level _13_3
ramulator.active_cycles_13_3_0,3886466,Total active cycles for level _13_3_0
ramulator.active_cycles_13_3_1,3025898,Total active cycles for level _13_3_1
ramulator.active_cycles_14,26138707,Total active cycles for level _14
