Metric,Value
read_bandwidth_Bps,1754406184
write_bandwidth_Bps,292838148
total_bandwidth_Bps,2047244332
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.319881926875
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,3.567107
queueing_latency_ns_avg,2.853686
row_hits,10454316
row_misses,9767585
row_conflicts,15474299
row_hit_rate_perc,29.286915694107496
row_miss_rate_perc,27.363094671141464
row_conflict_rate_perc,43.34998963475104
avg_req_queue_length,0.348421
total_active_cycles_rw,1119019307
dram_cycles_simulated,5579590000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,153948651
read_requests_total,30590258
write_requests_total,5105990
