Metric,Value
read_bandwidth_Bps,1754440664
write_bandwidth_Bps,292857587
total_bandwidth_Bps,2047298251
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.31989035171875
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,3.571898
queueing_latency_ns_avg,2.857519
row_hits,10408106
row_misses,9761603
row_conflicts,15530822
row_hit_rate_perc,29.153924909408207
row_miss_rate_perc,27.343019071621093
row_conflict_rate_perc,43.503056018970696
avg_req_queue_length,0.349993
total_active_cycles_rw,1121756086
dram_cycles_simulated,5580120000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,154066233
read_requests_total,30593777
write_requests_total,5106814
