Metric,Value,Description
ramulator.active_cycles_0,15445356,Total active cycles for level _0
ramulator.active_cycles_0_0,3934951,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,1978916,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,1967052,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,3938129,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,1960104,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,1988819,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,3943887,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,1970710,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,1984367,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,3946103,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,1976518,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,1979015,Total active cycles for level _0_3_1
ramulator.active_cycles_1,15444578,Total active cycles for level _1
ramulator.active_cycles_10,16001540,Total active cycles for level _10
ramulator.active_cycles_10_0,4051767,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,2033336,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,2029496,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,4101601,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,2054215,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,2058957,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,4092112,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,2046066,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,2058023,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,4085821,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,2060091,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,2037657,Total active cycles for level _10_3_1
ramulator.active_cycles_11,15897363,Total active cycles for level _11
ramulator.active_cycles_11_0,4038192,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,2020577,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,2029658,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,4062692,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,2040879,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,2033187,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,4069421,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,2043473,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,2040904,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,4060815,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,2034617,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,2038777,Total active cycles for level _11_3_1
ramulator.active_cycles_12,15638025,Total active cycles for level _12
ramulator.active_cycles_12_0,3964176,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,1992804,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,1985870,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,4027592,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,2023790,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,2018426,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,3996826,Total active cycles for level _12_2
