Metric,Value
read_bandwidth_Bps,329686430
write_bandwidth_Bps,93317560
total_bandwidth_Bps,423003990
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.0660943734375
read_latency_avg_cycles,89.219708
read_latency_ns_avg,71.375766
queueing_latency_avg_cycles,3.149339
queueing_latency_ns_avg,2.519471
row_hits,1097649
row_misses,3782818
row_conflicts,1544506
row_hit_rate_perc,17.084102921522003
row_miss_rate_perc,58.876792167064366
row_conflict_rate_perc,24.039104911413638
avg_req_queue_length,0.110091
total_active_cycles_rw,276415558
dram_cycles_simulated,4860357000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,114870356
read_requests_total,5007604
write_requests_total,1417370
