Metric,Value
read_bandwidth_Bps,123152810
write_bandwidth_Bps,0
total_bandwidth_Bps,123152810
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.0192426265625
read_latency_avg_cycles,85.693148
read_latency_ns_avg,68.554518
queueing_latency_avg_cycles,8.104852
queueing_latency_ns_avg,6.483882
row_hits,6887
row_misses,12386
row_conflicts,326
row_hit_rate_perc,35.13954793611919
row_miss_rate_perc,63.197101892953725
row_conflict_rate_perc,1.663350170927088
avg_req_queue_length,0.0322
total_active_cycles_rw,1331470
dram_cycles_simulated,50926000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,1089331
read_requests_total,19599
write_requests_total,0
