Metric,Value
read_bandwidth_Bps,122829672
write_bandwidth_Bps,0
total_bandwidth_Bps,122829672
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.01919213625
read_latency_avg_cycles,86.036911
read_latency_ns_avg,68.829529
queueing_latency_avg_cycles,8.279299
queueing_latency_ns_avg,6.62344
row_hits,6874
row_misses,12398
row_conflicts,370
row_hit_rate_perc,34.996436208125445
row_miss_rate_perc,63.119845229610014
row_conflict_rate_perc,1.8837185622645352
avg_req_queue_length,0.032247
total_active_cycles_rw,1336065
dram_cycles_simulated,51172000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,1094036
read_requests_total,19642
write_requests_total,0
