Metric,Value,Description
ramulator.active_cycles_0,245349,Total active cycles for level _0
ramulator.active_cycles_0_0,53828,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,11772,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,42196,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,84243,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,35633,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,48748,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,86201,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,13099,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,73153,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,25684,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,13187,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,12597,Total active cycles for level _0_3_1
ramulator.active_cycles_1,319560,Total active cycles for level _1
ramulator.active_cycles_10,273529,Total active cycles for level _10
ramulator.active_cycles_10_0,41424,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,12634,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,28890,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,91169,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,52282,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,39047,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,103470,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,13830,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,89884,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,42271,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,10590,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,31721,Total active cycles for level _10_3_1
ramulator.active_cycles_11,75763,Total active cycles for level _11
ramulator.active_cycles_11_0,21154,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,11894,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,9402,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,21415,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,12768,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,8817,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,21296,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,9453,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,12029,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,16018,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,7629,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,8520,Total active cycles for level _11_3_1
