Metric,Value
read_bandwidth_Bps,787273273
write_bandwidth_Bps,100108108
total_bandwidth_Bps,887381381
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.13865334078125
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,5.764428
queueing_latency_ns_avg,4.611542
row_hits,58696
row_misses,76045
row_conflicts,13008
row_hit_rate_perc,39.72683402256529
row_miss_rate_perc,51.4690454757731
row_conflict_rate_perc,8.8041205016616
avg_req_queue_length,0.122963
total_active_cycles_rw,4216758
dram_cycles_simulated,53280000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,1336349
read_requests_total,131081
write_requests_total,16668
