Metric,Value
read_bandwidth_Bps,666492454
write_bandwidth_Bps,296921354
total_bandwidth_Bps,963413808
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.1505334075
read_latency_avg_cycles,85.921646
read_latency_ns_avg,68.737317
queueing_latency_avg_cycles,4.630379
queueing_latency_ns_avg,3.704303
row_hits,8386170
row_misses,11921421
row_conflicts,4942386
row_hit_rate_perc,33.212584708493004
row_miss_rate_perc,47.213591521291285
row_conflict_rate_perc,19.57382377021571
avg_req_queue_length,0.25117
total_active_cycles_rw,1194537487
dram_cycles_simulated,8386835000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,228314981
read_requests_total,17468029
write_requests_total,7781970
