Metric,Value,Description
ramulator.active_cycles_0,245604,Total active cycles for level _0
ramulator.active_cycles_0_0,54065,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,11772,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,42433,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,84784,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,36193,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,48729,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,86182,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,13114,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,73119,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,25146,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,13158,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,12088,Total active cycles for level _0_3_1
ramulator.active_cycles_1,319644,Total active cycles for level _1
ramulator.active_cycles_10,272910,Total active cycles for level _10
ramulator.active_cycles_10_0,40799,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,12606,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,28312,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,91253,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,52366,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,39047,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,103371,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,13483,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,90084,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,42444,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,10533,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,31951,Total active cycles for level _10_3_1
ramulator.active_cycles_11,75885,Total active cycles for level _11
ramulator.active_cycles_11_0,21205,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,11945,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,9402,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,21545,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,12932,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,8783,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,21247,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,9453,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,11980,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,16052,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,7663,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,8520,Total active cycles for level _11_3_1
ramulator.active_cycles_12,139712,Total active cycles for level _12
ramulator.active_cycles_12_0,34254,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,24977,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,9470,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,32511,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,24551,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,8091,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,35746,Total active cycles for level _12_2
ramulator.active_cycles_12_2_0,8736,Total active cycles for level _12_2_0
ramulator.active_cycles_12_2_1,27156,Total active cycles for level _12_2_1
ramulator.active_cycles_12_3,41596,Total active cycles for level _12_3
ramulator.active_cycles_12_3_0,14987,Total active cycles for level _12_3_0
ramulator.active_cycles_12_3_1,26680,Total active cycles for level _12_3_1
ramulator.active_cycles_13,70036,Total active cycles for level _13
ramulator.active_cycles_13_0,19881,Total active cycles for level _13_0
ramulator.active_cycles_13_0_0,11049,Total active cycles for level _13_0_0
ramulator.active_cycles_13_0_1,9214,Total active cycles for level _13_0_1
ramulator.active_cycles_13_1,19872,Total active cycles for level _13_1
ramulator.active_cycles_13_1_0,10903,Total active cycles for level _13_1_0
ramulator.active_cycles_13_1_1,9250,Total active cycles for level _13_1_1
ramulator.active_cycles_13_2,17320,Total active cycles for level _13_2
ramulator.active_cycles_13_2_0,7529,Total active cycles for level _13_2_0
ramulator.active_cycles_13_2_1,9871,Total active cycles for level _13_2_1
ramulator.active_cycles_13_3,17546,Total active cycles for level _13_3
ramulator.active_cycles_13_3_0,7468,Total active cycles for level _13_3_0
ramulator.active_cycles_13_3_1,10178,Total active cycles for level _13_3_1
ramulator.active_cycles_14,64334,Total active cycles for level _14
ramulator.active_cycles_14_0,17792,Total active cycles for level _14_0
ramulator.active_cycles_14_0_0,9789,Total active cycles for level _14_0_0
ramulator.active_cycles_14_0_1,8083,Total active cycles for level _14_0_1
ramulator.active_cycles_14_1,18473,Total active cycles for level _14_1
