Metric,Value
read_bandwidth_Bps,787417417
write_bandwidth_Bps,100114114
total_bandwidth_Bps,887531531
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.13867680171875
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,5.806697
queueing_latency_ns_avg,4.645358
row_hits,58755
row_misses,76062
row_conflicts,12957
row_hit_rate_perc,39.76003897844005
row_miss_rate_perc,51.47184213731779
row_conflict_rate_perc,8.768118884242154
avg_req_queue_length,0.123149
total_active_cycles_rw,4216102
dram_cycles_simulated,53280000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,1336404
read_requests_total,131105
write_requests_total,16669
