Metric,Value
read_bandwidth_Bps,787345345
write_bandwidth_Bps,100108108
total_bandwidth_Bps,887453453
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.13866460203125
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,5.811355
queueing_latency_ns_avg,4.649084
row_hits,58748
row_misses,76065
row_conflicts,12948
row_hit_rate_perc,39.75879968327231
row_miss_rate_perc,51.47840093123355
row_conflict_rate_perc,8.762799385494143
avg_req_queue_length,0.12317
total_active_cycles_rw,4214676
dram_cycles_simulated,53280000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,1336401
read_requests_total,131093
write_requests_total,16668
