Metric,Value,Description
ramulator.active_cycles_0,6336544,Total active cycles for level _0
ramulator.active_cycles_0_0,1601062,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,800319,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,802597,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,1610479,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,807927,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,804299,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,1598829,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,800191,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,800340,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,1600017,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,794025,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,807857,Total active cycles for level _0_3_1
ramulator.active_cycles_1,6337614,Total active cycles for level _1
ramulator.active_cycles_10,6331463,Total active cycles for level _10
ramulator.active_cycles_10_0,1609284,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,806957,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,803478,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,1604336,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,804008,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,801418,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,1600359,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,799279,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,802543,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,1591265,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,798115,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,794203,Total active cycles for level _10_3_1
ramulator.active_cycles_11,6343093,Total active cycles for level _11
ramulator.active_cycles_11_0,1609565,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,803569,Total active cycles for level _11_0_0
