Metric,Value
read_bandwidth_Bps,86515361
write_bandwidth_Bps,43500235
total_bandwidth_Bps,130015596
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.020314936875
read_latency_avg_cycles,84.403643
read_latency_ns_avg,67.522914
queueing_latency_avg_cycles,8.057005
queueing_latency_ns_avg,6.445604
row_hits,1280242
row_misses,1656296
row_conflicts,41622
row_hit_rate_perc,42.98768367045424
row_miss_rate_perc,55.6147419883418
row_conflict_rate_perc,1.397574341203965
avg_req_queue_length,0.03151
total_active_cycles_rw,139429180
dram_cycles_simulated,7329976000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,156577144
read_requests_total,1981736
write_requests_total,996424
