Metric,Value
read_bandwidth_Bps,850521719
write_bandwidth_Bps,208428397
total_bandwidth_Bps,1058950116
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.16546095562500002
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,5.053142
queueing_latency_ns_avg,4.042514
row_hits,10849320
row_misses,12710515
row_conflicts,1867245
row_hit_rate_perc,42.66836774022027
row_miss_rate_perc,49.988103234818944
row_conflict_rate_perc,7.34352902496079
avg_req_queue_length,0.142434
total_active_cycles_rw,677065848
dram_cycles_simulated,7683710000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,202321708
read_requests_total,20424622
write_requests_total,5004699
