Metric,Value,Description
ramulator.active_cycles_0,44471143,Total active cycles for level _0
ramulator.active_cycles_0_0,8674301,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,3044545,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,5783998,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,10985010,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,7785474,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,3239686,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,13575322,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,6472417,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,7144345,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,12862263,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,10462661,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,2456630,Total active cycles for level _0_3_1
ramulator.active_cycles_1,36720240,Total active cycles for level _1
ramulator.active_cycles_10,28163341,Total active cycles for level _10
ramulator.active_cycles_10_0,8237164,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,5245840,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,3064174,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,10204904,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,4986802,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,5255072,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,4361611,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,2106557,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,2288980,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,6711350,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,4535163,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,2214673,Total active cycles for level _10_3_1
ramulator.active_cycles_11,16140290,Total active cycles for level _11
ramulator.active_cycles_11_0,4952526,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,2161895,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,2857258,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,4215020,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,2307373,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,1942310,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,4102152,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,2079797,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,2051592,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,4200787,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,2069495,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,2166771,Total active cycles for level _11_3_1
ramulator.active_cycles_12,19360580,Total active cycles for level _12
ramulator.active_cycles_12_0,6723327,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,3907300,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,2882735,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,4946532,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,2344421,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,2636722,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,4008611,Total active cycles for level _12_2
ramulator.active_cycles_12_2_0,2038036,Total active cycles for level _12_2_0
ramulator.active_cycles_12_2_1,2003006,Total active cycles for level _12_2_1
ramulator.active_cycles_12_3,4965692,Total active cycles for level _12_3
ramulator.active_cycles_12_3_0,2779346,Total active cycles for level _12_3_0
ramulator.active_cycles_12_3_1,2224813,Total active cycles for level _12_3_1
ramulator.active_cycles_13,23735760,Total active cycles for level _13
ramulator.active_cycles_13_0,7212533,Total active cycles for level _13_0
ramulator.active_cycles_13_0_0,4265108,Total active cycles for level _13_0_0
ramulator.active_cycles_13_0_1,3035239,Total active cycles for level _13_0_1
ramulator.active_cycles_13_1,6969258,Total active cycles for level _13_1
ramulator.active_cycles_13_1_0,3018594,Total active cycles for level _13_1_0
ramulator.active_cycles_13_1_1,3989983,Total active cycles for level _13_1_1
ramulator.active_cycles_13_2,4471019,Total active cycles for level _13_2
ramulator.active_cycles_13_2_0,2299001,Total active cycles for level _13_2_0
ramulator.active_cycles_13_2_1,2212210,Total active cycles for level _13_2_1
ramulator.active_cycles_13_3,6584217,Total active cycles for level _13_3
ramulator.active_cycles_13_3_0,3225358,Total active cycles for level _13_3_0
ramulator.active_cycles_13_3_1,3407613,Total active cycles for level _13_3_1
ramulator.active_cycles_14,20138363,Total active cycles for level _14
ramulator.active_cycles_14_0,6243324,Total active cycles for level _14_0
ramulator.active_cycles_14_0_0,3122383,Total active cycles for level _14_0_0
ramulator.active_cycles_14_0_1,3218700,Total active cycles for level _14_0_1
ramulator.active_cycles_14_1,5042521,Total active cycles for level _14_1
ramulator.active_cycles_14_1_0,2558233,Total active cycles for level _14_1_0
ramulator.active_cycles_14_1_1,2529772,Total active cycles for level _14_1_1
ramulator.active_cycles_14_2,4744832,Total active cycles for level _14_2
ramulator.active_cycles_14_2_0,2373522,Total active cycles for level _14_2_0
ramulator.active_cycles_14_2_1,2422844,Total active cycles for level _14_2_1
ramulator.active_cycles_14_3,5705230,Total active cycles for level _14_3
ramulator.active_cycles_14_3_0,3120870,Total active cycles for level _14_3_0
ramulator.active_cycles_14_3_1,2653884,Total active cycles for level _14_3_1
ramulator.active_cycles_15,17181326,Total active cycles for level _15
ramulator.active_cycles_15_0,5454023,Total active cycles for level _15_0
ramulator.active_cycles_15_0_0,2612963,Total active cycles for level _15_0_0
ramulator.active_cycles_15_0_1,2929586,Total active cycles for level _15_0_1
ramulator.active_cycles_15_1,4126100,Total active cycles for level _15_1
ramulator.active_cycles_15_1_0,2141496,Total active cycles for level _15_1_0
ramulator.active_cycles_15_1_1,2008259,Total active cycles for level _15_1_1
ramulator.active_cycles_15_2,4331174,Total active cycles for level _15_2
ramulator.active_cycles_15_2_0,2211934,Total active cycles for level _15_2_0
ramulator.active_cycles_15_2_1,2162353,Total active cycles for level _15_2_1
ramulator.active_cycles_15_3,4665287,Total active cycles for level _15_3
ramulator.active_cycles_15_3_0,2541434,Total active cycles for level _15_3_0
ramulator.active_cycles_15_3_1,2177305,Total active cycles for level _15_3_1
ramulator.active_cycles_16,18645703,Total active cycles for level _16
ramulator.active_cycles_16_0,6154252,Total active cycles for level _16_0
ramulator.active_cycles_16_0_0,2957616,Total active cycles for level _16_0_0
ramulator.active_cycles_16_0_1,3307784,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,4278422,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,2291165,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,2017400,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,4548333,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,2237446,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,2361604,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,5011473,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,2742211,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,2332988,Total active cycles for level _16_3_1
ramulator.active_cycles_17,17197474,Total active cycles for level _17
ramulator.active_cycles_17_0,5515158,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,2673766,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,2937373,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,4076907,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,2123286,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,1990373,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,4275163,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,2215251,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,2106692,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,4618840,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,2533603,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,2152835,Total active cycles for level _17_3_1
ramulator.active_cycles_18,17268072,Total active cycles for level _18
ramulator.active_cycles_18_0,5658003,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,2794347,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,2973352,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,4057730,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,2123161,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,1975685,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,4295817,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,2234768,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,2112749,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,4638881,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,2555485,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,2161072,Total active cycles for level _18_3_1
ramulator.active_cycles_19,23964366,Total active cycles for level _19
ramulator.active_cycles_19_0,8038329,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,2685285,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,5444101,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,6441927,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,3306806,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,3167742,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,5496498,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,2282761,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,3257717,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,5373658,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,3242391,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,2194820,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,9300928,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,3117783,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,6267927,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,7946007,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,2494076,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,5497021,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,11436568,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,3334145,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,8141932,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,9428268,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,7079202,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,2401726,Total active cycles for level _1_3_1
ramulator.active_cycles_2,42563016,Total active cycles for level _2
ramulator.active_cycles_20,28688536,Total active cycles for level _20
ramulator.active_cycles_20_0,7308538,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,2537293,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,4845255,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,7369372,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,3620652,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,3782956,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,6572196,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,3390181,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,3230226,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,8821362,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,6804015,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,2081464,Total active cycles for level _20_3_1
ramulator.active_cycles_21,21422290,Total active cycles for level _21
ramulator.active_cycles_21_0,5182767,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,2468997,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,2778293,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,5455459,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,2805507,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,2680775,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,5766777,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,2965905,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,2845748,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,6345702,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,3256263,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,3154630,Total active cycles for level _21_3_1
ramulator.active_cycles_22,19411719,Total active cycles for level _22
ramulator.active_cycles_22_0,5376417,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,2356624,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,3083934,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,4815319,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,2258398,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,2584841,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,5215861,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,2703503,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,2554721,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,5310481,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,3218561,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,2155262,Total active cycles for level _22_3_1
ramulator.active_cycles_23,16714884,Total active cycles for level _23
ramulator.active_cycles_23_0,4995801,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,2290909,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,2768012,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,4066930,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,2143149,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,1955230,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,4399028,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,2243809,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,2198385,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,4500033,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,2528702,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,2031510,Total active cycles for level _23_3_1
ramulator.active_cycles_24,16374911,Total active cycles for level _24
ramulator.active_cycles_24_0,4972555,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,2327896,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,2714908,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,4052178,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,2045249,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,2040200,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,4265035,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,2235467,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,2069113,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,4327896,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,2472648,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,1910863,Total active cycles for level _24_3_1
ramulator.active_cycles_25,20921675,Total active cycles for level _25
ramulator.active_cycles_25_0,5191579,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,2468186,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,2790242,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,5501304,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,3493695,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,2040058,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,5356763,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,3005833,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,2394983,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,6143060,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,3317300,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,2904525,Total active cycles for level _25_3_1
ramulator.active_cycles_26,20099952,Total active cycles for level _26
ramulator.active_cycles_26_0,5626081,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,2492159,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,3200834,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,4095199,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,2187330,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,1934137,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,5044364,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,2938092,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,2151863,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,6617635,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,3250980,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,3420732,Total active cycles for level _26_3_1
ramulator.active_cycles_27,17320644,Total active cycles for level _27
ramulator.active_cycles_27_0,4628669,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,2238338,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,2443276,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,4527799,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,2612630,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,1936115,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,4581779,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,2608131,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,2011824,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,4821855,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,2818758,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,2051027,Total active cycles for level _27_3_1
ramulator.active_cycles_28,15786163,Total active cycles for level _28
ramulator.active_cycles_28_0,4686767,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,2311447,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,2432088,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,3942418,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,2030028,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,1937862,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,4187401,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,2206131,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,2027052,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,4146039,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,2416962,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,1777278,Total active cycles for level _28_3_1
ramulator.active_cycles_29,18632812,Total active cycles for level _29
ramulator.active_cycles_29_0,5203069,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,2682599,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,2585197,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,4385718,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,2088325,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,2327375,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,5103541,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,2615904,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,2539153,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,5264923,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,2475014,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,2841559,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,8110283,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,3538676,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,4650949,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,6660919,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,3865301,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,2847539,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,13059798,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,5806835,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,7304445,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,16220391,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,11079983,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,5199646,Total active cycles for level _2_3_1
ramulator.active_cycles_3,29323240,Total active cycles for level _3
ramulator.active_cycles_30,23533818,Total active cycles for level _30
ramulator.active_cycles_30_0,6800006,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,3744271,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,3125859,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,4486394,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,2167416,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,2352264,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,7417373,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,3978738,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,3491000,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,6264515,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,2525535,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,3801742,Total active cycles for level _30_3_1
ramulator.active_cycles_31,22302587,Total active cycles for level _31
ramulator.active_cycles_31_0,7051320,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,4201642,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,2926267,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,5062823,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,2109443,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,2982929,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,6961598,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,3935024,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,3080564,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,4649235,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,2575779,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,2135950,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,9016771,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,3023810,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,6072830,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,6458665,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,3205644,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,3295304,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,6528531,Total active cycles for level _3_2
