Metric,Value,Description
ramulator.active_cycles_0,44706794,Total active cycles for level _0
ramulator.active_cycles_0_0,14889691,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,10981863,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,3989549,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,6271781,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,2652179,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,3692153,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,14802064,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,7568417,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,7260725,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,10412421,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,7045268,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,3439640,Total active cycles for level _0_3_1
ramulator.active_cycles_1,63977580,Total active cycles for level _1
ramulator.active_cycles_10,27990725,Total active cycles for level _10
ramulator.active_cycles_10_0,7476659,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,4824654,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,2696336,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,10453014,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,6954671,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,3546124,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,6886170,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,3368153,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,3543667,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,4465619,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,1824091,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,2667817,Total active cycles for level _10_3_1
ramulator.active_cycles_11,16291930,Total active cycles for level _11
ramulator.active_cycles_11_0,4895622,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,2295914,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,2659787,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,4556062,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,2409327,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,2199860,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,3916208,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,2221250,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,1727590,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,4235222,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,1842413,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,2430080,Total active cycles for level _11_3_1
ramulator.active_cycles_12,19528117,Total active cycles for level _12
ramulator.active_cycles_12_0,5510475,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,2846839,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,2718138,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,6613880,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,4425601,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,2247065,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,4474932,Total active cycles for level _12_2
ramulator.active_cycles_12_2_0,2080519,Total active cycles for level _12_2_0
ramulator.active_cycles_12_2_1,2426733,Total active cycles for level _12_2_1
ramulator.active_cycles_12_3,4181672,Total active cycles for level _12_3
ramulator.active_cycles_12_3_0,1846163,Total active cycles for level _12_3_0
ramulator.active_cycles_12_3_1,2371988,Total active cycles for level _12_3_1
ramulator.active_cycles_13,23144780,Total active cycles for level _13
ramulator.active_cycles_13_0,5844442,Total active cycles for level _13_0
ramulator.active_cycles_13_0_0,3193880,Total active cycles for level _13_0_0
ramulator.active_cycles_13_0_1,2717877,Total active cycles for level _13_0_1
ramulator.active_cycles_13_1,8691469,Total active cycles for level _13_1
ramulator.active_cycles_13_1_0,5289553,Total active cycles for level _13_1_0
ramulator.active_cycles_13_1_1,3451915,Total active cycles for level _13_1_1
ramulator.active_cycles_13_2,4534295,Total active cycles for level _13_2
ramulator.active_cycles_13_2_0,2020491,Total active cycles for level _13_2_0
ramulator.active_cycles_13_2_1,2537861,Total active cycles for level _13_2_1
ramulator.active_cycles_13_3,5419080,Total active cycles for level _13_3
ramulator.active_cycles_13_3_0,1900870,Total active cycles for level _13_3_0
ramulator.active_cycles_13_3_1,3551744,Total active cycles for level _13_3_1
ramulator.active_cycles_14,20254251,Total active cycles for level _14
ramulator.active_cycles_14_0,6033564,Total active cycles for level _14_0
ramulator.active_cycles_14_0_0,3083259,Total active cycles for level _14_0_0
ramulator.active_cycles_14_0_1,3032218,Total active cycles for level _14_0_1
ramulator.active_cycles_14_1,5768703,Total active cycles for level _14_1
ramulator.active_cycles_14_1_0,3098544,Total active cycles for level _14_1_0
ramulator.active_cycles_14_1_1,2726154,Total active cycles for level _14_1_1
ramulator.active_cycles_14_2,4350332,Total active cycles for level _14_2
ramulator.active_cycles_14_2_0,2194886,Total active cycles for level _14_2_0
ramulator.active_cycles_14_2_1,2185269,Total active cycles for level _14_2_1
ramulator.active_cycles_14_3,5686405,Total active cycles for level _14_3
ramulator.active_cycles_14_3_0,2918194,Total active cycles for level _14_3_0
ramulator.active_cycles_14_3_1,2848971,Total active cycles for level _14_3_1
ramulator.active_cycles_15,17638287,Total active cycles for level _15
ramulator.active_cycles_15_0,5517784,Total active cycles for level _15_0
ramulator.active_cycles_15_0_0,2736693,Total active cycles for level _15_0_0
ramulator.active_cycles_15_0_1,2852849,Total active cycles for level _15_0_1
ramulator.active_cycles_15_1,4446555,Total active cycles for level _15_1
ramulator.active_cycles_15_1_0,2344791,Total active cycles for level _15_1_0
ramulator.active_cycles_15_1_1,2150777,Total active cycles for level _15_1_1
ramulator.active_cycles_15_2,4072395,Total active cycles for level _15_2
ramulator.active_cycles_15_2_0,2210608,Total active cycles for level _15_2_0
ramulator.active_cycles_15_2_1,1882974,Total active cycles for level _15_2_1
ramulator.active_cycles_15_3,5104075,Total active cycles for level _15_3
ramulator.active_cycles_15_3_0,2752177,Total active cycles for level _15_3_0
ramulator.active_cycles_15_3_1,2430022,Total active cycles for level _15_3_1
ramulator.active_cycles_16,19296944,Total active cycles for level _16
ramulator.active_cycles_16_0,5980087,Total active cycles for level _16_0
ramulator.active_cycles_16_0_0,2828225,Total active cycles for level _16_0_0
ramulator.active_cycles_16_0_1,3223705,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,4518929,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,2334286,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,2237609,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,4417904,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,2326335,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,2118751,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,5851788,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,3395209,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,2557542,Total active cycles for level _16_3_1
ramulator.active_cycles_17,17500943,Total active cycles for level _17
ramulator.active_cycles_17_0,5369980,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,2657545,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,2780813,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,4388471,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,2320406,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,2119559,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,3998665,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,2157073,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,1869715,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,5055643,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,2753220,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,2388586,Total active cycles for level _17_3_1
ramulator.active_cycles_18,17854261,Total active cycles for level _18
ramulator.active_cycles_18_0,5507451,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,2742518,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,2841387,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,4434437,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,2365235,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,2123386,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,4145172,Total active cycles for level _18_2
