Metric,Value
read_bandwidth_Bps,849740805
write_bandwidth_Bps,206748505
total_bandwidth_Bps,1056489310
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.1650764546875
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,5.11414
queueing_latency_ns_avg,4.091312
row_hits,10683154
row_misses,12567689
row_conflicts,1812484
row_hit_rate_perc,42.624644365849754
row_miss_rate_perc,50.14373790039925
row_conflict_rate_perc,7.231617733750991
avg_req_queue_length,0.142755
total_active_cycles_rw,669199040
dram_cycles_simulated,7591430000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,199993194
read_requests_total,20160740
write_requests_total,4904740
