Metric,Value
read_bandwidth_Bps,822743122
write_bandwidth_Bps,206993173
total_bandwidth_Bps,1029736295
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.16089629609375
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,5.190425
queueing_latency_ns_avg,4.15234
row_hits,10500307
row_misses,12225881
row_conflicts,1771335
row_hit_rate_perc,42.86272942778746
row_miss_rate_perc,49.906600761227985
row_conflict_rate_perc,7.230669810984564
avg_req_queue_length,0.139352
total_active_cycles_rw,647213815
dram_cycles_simulated,7612830000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,200995642
read_requests_total,19575154
write_requests_total,4924387
