Metric,Value
read_bandwidth_Bps,293324163
write_bandwidth_Bps,25500734
total_bandwidth_Bps,318824897
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.04981639015625
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,4.343083
queueing_latency_ns_avg,3.474467
row_hits,15645673
row_misses,22577126
row_conflicts,1418723
row_hit_rate_perc,39.4678917726721
row_miss_rate_perc,56.953226972465885
row_conflict_rate_perc,3.5788812548620106
avg_req_queue_length,0.042416
total_active_cycles_rw,1352984925
dram_cycles_simulated,39787630000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,861619258
read_requests_total,36470856
write_requests_total,3170668
