Metric,Value
read_bandwidth_Bps,289335083
write_bandwidth_Bps,25600705
total_bandwidth_Bps,314935788
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.049208716874999996
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,4.045976
queueing_latency_ns_avg,3.236781
row_hits,15210359
row_misses,22561106
row_conflicts,1366373
row_hit_rate_perc,38.863564717090405
row_miss_rate_perc,57.6452536800832
row_conflict_rate_perc,3.4911816028264
avg_req_queue_length,0.041695
total_active_cycles_rw,1338578366
dram_cycles_simulated,39767180000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,861517676
read_requests_total,35956376
write_requests_total,3181462
