Metric,Value,Description
ramulator.active_cycles_0,33459748,Total active cycles for level _0
ramulator.active_cycles_0_0,9395701,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,4733548,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,4671424,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,9403499,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,4971466,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,4445931,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,7560046,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,3891003,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,3683757,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,7864777,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,3629356,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,4245130,Total active cycles for level _0_3_1
ramulator.active_cycles_1,35118579,Total active cycles for level _1
ramulator.active_cycles_10,48669278,Total active cycles for level _10
ramulator.active_cycles_10_0,10621403,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,4821767,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,5812395,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,20312575,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,14035620,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,6299099,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,8122898,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,4423848,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,3719409,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,10441725,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,4600862,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,5862115,Total active cycles for level _10_3_1
ramulator.active_cycles_11,33513058,Total active cycles for level _11
ramulator.active_cycles_11_0,9489253,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,4770158,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,4727616,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,8690385,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,4944988,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,3762725,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,7334139,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,3684123,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,3664586,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,8857203,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,4121283,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,4746523,Total active cycles for level _11_3_1
ramulator.active_cycles_12,36529453,Total active cycles for level _12
ramulator.active_cycles_12_0,9474550,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,4727294,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,4760460,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,9633648,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,5765604,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,3896579,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,7442617,Total active cycles for level _12_2
ramulator.active_cycles_12_2_0,3690894,Total active cycles for level _12_2_0
ramulator.active_cycles_12_2_1,3775490,Total active cycles for level _12_2_1
ramulator.active_cycles_12_3,10843262,Total active cycles for level _12_3
ramulator.active_cycles_12_3_0,4607761,Total active cycles for level _12_3_0
ramulator.active_cycles_12_3_1,6250124,Total active cycles for level _12_3_1
ramulator.active_cycles_13,42005407,Total active cycles for level _13
