Metric,Value
read_bandwidth_Bps,257715540
write_bandwidth_Bps,25616800
total_bandwidth_Bps,283332340
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.044270678125
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,4.076126
queueing_latency_ns_avg,3.2609
row_hits,13175516
row_misses,20967497
row_conflicts,960155
row_hit_rate_perc,37.53369496451147
row_miss_rate_perc,59.73106757771834
row_conflict_rate_perc,2.7352374577701934
avg_req_queue_length,0.037615
total_active_cycles_rw,1190019422
dram_cycles_simulated,39646070000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,846492948
read_requests_total,31929401
write_requests_total,3173767
