Metric,Value
read_bandwidth_Bps,291210953
write_bandwidth_Bps,25581402
total_bandwidth_Bps,316792355
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.04949880546875
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,4.260136
queueing_latency_ns_avg,3.408109
row_hits,15636204
row_misses,22482884
row_conflicts,1249381
row_hit_rate_perc,39.71758210866671
row_miss_rate_perc,57.10886039281843
row_conflict_rate_perc,3.1735574985148647
avg_req_queue_length,0.041751
total_active_cycles_rw,1335647553
dram_cycles_simulated,39767090000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,861797591
read_requests_total,36189415
write_requests_total,3179056
