Metric,Value
read_bandwidth_Bps,41630332
write_bandwidth_Bps,8620798
total_bandwidth_Bps,50251130
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.0078517390625
read_latency_avg_cycles,85.653024
read_latency_ns_avg,68.522419
queueing_latency_avg_cycles,5.260087
queueing_latency_ns_avg,4.20807
row_hits,1292450
row_misses,4747723
row_conflicts,59009
row_hit_rate_perc,21.19054653558461
row_miss_rate_perc,77.84196306980182
row_conflict_rate_perc,0.9674903946135728
avg_req_queue_length,0.01271
total_active_cycles_rw,387596647
dram_cycles_simulated,38839688000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,810724197
read_requests_total,5052841
write_requests_total,1046341
