Metric,Value,Description
ramulator.active_cycles_0,72580,Total active cycles for level _0
ramulator.active_cycles_0_0,17114,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,8988,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,8126,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,16475,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,7905,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,8570,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,19265,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,9479,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,9786,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,19763,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,10012,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,9751,Total active cycles for level _0_3_1
ramulator.active_cycles_1,71387,Total active cycles for level _1
ramulator.active_cycles_10,71564,Total active cycles for level _10
ramulator.active_cycles_10_0,16144,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,7567,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,8577,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,17328,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,7885,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,9443,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,18891,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,9743,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,9148,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,19245,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,10096,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,9149,Total active cycles for level _10_3_1
ramulator.active_cycles_11,70837,Total active cycles for level _11
ramulator.active_cycles_11_0,16623,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,7825,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,8798,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,16942,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,7873,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,9069,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,18521,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,9513,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,9008,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,18751,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,9827,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,9231,Total active cycles for level _11_3_1
ramulator.active_cycles_12,70957,Total active cycles for level _12
ramulator.active_cycles_12_0,15808,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,7745,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,8063,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,17605,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,8621,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,8984,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,19424,Total active cycles for level _12_2
ramulator.active_cycles_12_2_0,10054,Total active cycles for level _12_2_0
ramulator.active_cycles_12_2_1,9370,Total active cycles for level _12_2_1
ramulator.active_cycles_12_3,18120,Total active cycles for level _12_3
