Metric,Value
read_bandwidth_Bps,3540747
write_bandwidth_Bps,0
total_bandwidth_Bps,3540747
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.0005532417187499999
read_latency_avg_cycles,86.255431
read_latency_ns_avg,69.004345
queueing_latency_avg_cycles,10.738547
queueing_latency_ns_avg,8.590838
row_hits,14406
row_misses,17581
row_conflicts,233
row_hit_rate_perc,44.71135940409683
row_miss_rate_perc,54.565487274984484
row_conflict_rate_perc,0.7231533209186841
avg_req_queue_length,0.000932
total_active_cycles_rw,1984720
dram_cycles_simulated,2911928000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,59803380
read_requests_total,32220
write_requests_total,0
