Metric,Value,Description
ramulator.active_cycles_0,398940,Total active cycles for level _0
ramulator.active_cycles_0_0,99381,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,53014,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,46796,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,94211,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,47632,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,47752,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,111098,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,56480,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,55369,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,118381,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,52155,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,68024,Total active cycles for level _0_3_1
ramulator.active_cycles_1,386788,Total active cycles for level _1
ramulator.active_cycles_10,58941138,Total active cycles for level _10
ramulator.active_cycles_10_0,102546,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,53151,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,49917,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,17853928,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,17806540,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,47646,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,22135308,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,11068090,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,11067911,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,18864941,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,52845,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,18812736,Total active cycles for level _10_3_1
ramulator.active_cycles_11,72258052,Total active cycles for level _11
ramulator.active_cycles_11_0,98925,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,49272,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,50115,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,36007879,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,17955361,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,18052788,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,18107265,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,18051303,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,56686,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,18058643,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,50633,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,18008801,Total active cycles for level _11_3_1
ramulator.active_cycles_12,47878349,Total active cycles for level _12
ramulator.active_cycles_12_0,97886,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,49606,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,48740,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,36575686,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,25473857,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,11102340,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,110809,Total active cycles for level _12_2
ramulator.active_cycles_12_2_0,54416,Total active cycles for level _12_2_0
ramulator.active_cycles_12_2_1,57167,Total active cycles for level _12_2_1
ramulator.active_cycles_12_3,11111396,Total active cycles for level _12_3
ramulator.active_cycles_12_3_0,52255,Total active cycles for level _12_3_0
ramulator.active_cycles_12_3_1,11060039,Total active cycles for level _12_3_1
ramulator.active_cycles_13,401092,Total active cycles for level _13
ramulator.active_cycles_13_0,100853,Total active cycles for level _13_0
ramulator.active_cycles_13_0_0,51341,Total active cycles for level _13_0_0
ramulator.active_cycles_13_0_1,50174,Total active cycles for level _13_0_1
ramulator.active_cycles_13_1,95918,Total active cycles for level _13_1
ramulator.active_cycles_13_1_0,49935,Total active cycles for level _13_1_0
ramulator.active_cycles_13_1_1,46634,Total active cycles for level _13_1_1
ramulator.active_cycles_13_2,123030,Total active cycles for level _13_2
ramulator.active_cycles_13_2_0,62447,Total active cycles for level _13_2_0
ramulator.active_cycles_13_2_1,61408,Total active cycles for level _13_2_1
ramulator.active_cycles_13_3,99568,Total active cycles for level _13_3
ramulator.active_cycles_13_3_0,50275,Total active cycles for level _13_3_0
ramulator.active_cycles_13_3_1,50193,Total active cycles for level _13_3_1
ramulator.active_cycles_14,33448746,Total active cycles for level _14
ramulator.active_cycles_14_0,98151,Total active cycles for level _14_0
ramulator.active_cycles_14_0_0,48453,Total active cycles for level _14_0_0
ramulator.active_cycles_14_0_1,50248,Total active cycles for level _14_0_1
ramulator.active_cycles_14_1,11120497,Total active cycles for level _14_1
ramulator.active_cycles_14_1_0,11074440,Total active cycles for level _14_1_0
ramulator.active_cycles_14_1_1,47237,Total active cycles for level _14_1_1
ramulator.active_cycles_14_2,131353,Total active cycles for level _14_2
ramulator.active_cycles_14_2_0,65142,Total active cycles for level _14_2_0
ramulator.active_cycles_14_2_1,66866,Total active cycles for level _14_2_1
ramulator.active_cycles_14_3,22119522,Total active cycles for level _14_3
ramulator.active_cycles_14_3_0,11065413,Total active cycles for level _14_3_0
ramulator.active_cycles_14_3_1,11054747,Total active cycles for level _14_3_1
ramulator.active_cycles_15,48335259,Total active cycles for level _15
ramulator.active_cycles_15_0,100880,Total active cycles for level _15_0
ramulator.active_cycles_15_0_0,49672,Total active cycles for level _15_0_0
ramulator.active_cycles_15_0_1,51679,Total active cycles for level _15_0_1
ramulator.active_cycles_15_1,11100128,Total active cycles for level _15_1
ramulator.active_cycles_15_1_0,47223,Total active cycles for level _15_1_0
ramulator.active_cycles_15_1_1,11053096,Total active cycles for level _15_1_1
ramulator.active_cycles_15_2,117342,Total active cycles for level _15_2
ramulator.active_cycles_15_2_0,57903,Total active cycles for level _15_2_0
ramulator.active_cycles_15_2_1,60031,Total active cycles for level _15_2_1
ramulator.active_cycles_15_3,37032436,Total active cycles for level _15_3
ramulator.active_cycles_15_3_0,11180054,Total active cycles for level _15_3_0
ramulator.active_cycles_15_3_1,25853073,Total active cycles for level _15_3_1
ramulator.active_cycles_16,82030938,Total active cycles for level _16
ramulator.active_cycles_16_0,104087,Total active cycles for level _16_0
ramulator.active_cycles_16_0_0,51396,Total active cycles for level _16_0_0
ramulator.active_cycles_16_0_1,52891,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,30421183,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,12318480,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,18103210,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,115493,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,57898,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,58115,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,51407261,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,18062264,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,33345935,Total active cycles for level _16_3_1
ramulator.active_cycles_17,55367244,Total active cycles for level _17
ramulator.active_cycles_17_0,1873527,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,1816987,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,57020,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,12902113,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,1840510,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,11062427,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,1883641,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,57597,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,1826724,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,38726611,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,11086123,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,27641410,Total active cycles for level _17_3_1
ramulator.active_cycles_18,456671,Total active cycles for level _18
ramulator.active_cycles_18_0,123933,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,58154,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,66221,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,111060,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,59813,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,51849,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,119489,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,57378,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,62643,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,119613,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,69503,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,50759,Total active cycles for level _18_3_1
ramulator.active_cycles_19,2781159,Total active cycles for level _19
ramulator.active_cycles_19_0,101804,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,52775,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,49369,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,102098,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,48859,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,53661,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,2478968,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,2424734,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,54968,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,117614,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,65591,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,53100,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,96789,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,49123,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,48166,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,91307,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,45828,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,47021,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,105482,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,53198,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,52995,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,116739,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,50462,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,67559,Total active cycles for level _1_3_1
ramulator.active_cycles_2,394146,Total active cycles for level _2
ramulator.active_cycles_20,13470703,Total active cycles for level _20
ramulator.active_cycles_20_0,3623713,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,1812022,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,1812029,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,99611,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,45072,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,55593,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,7890267,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,6075803,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,1816204,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,1883188,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,1833059,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,51121,Total active cycles for level _20_3_1
ramulator.active_cycles_21,393710,Total active cycles for level _21
ramulator.active_cycles_21_0,93695,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,47940,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,46061,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,100399,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,45085,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,56419,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,109188,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,59407,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,50532,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,111933,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,62157,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,50524,Total active cycles for level _21_3_1
ramulator.active_cycles_22,395202,Total active cycles for level _22
ramulator.active_cycles_22_0,94249,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,47718,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,46911,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,101707,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,48665,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,54691,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,109983,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,59841,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,51100,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,111548,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,61179,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,51174,Total active cycles for level _22_3_1
ramulator.active_cycles_23,420947,Total active cycles for level _23
ramulator.active_cycles_23_0,101878,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,49299,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,52867,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,107201,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,53871,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,54501,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,112278,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,56085,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,56690,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,121713,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,65217,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,57275,Total active cycles for level _23_3_1
ramulator.active_cycles_24,395002,Total active cycles for level _24
ramulator.active_cycles_24_0,97133,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,51246,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,46207,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,97939,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,45208,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,54163,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,107298,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,53616,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,54317,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,113239,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,62852,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,50953,Total active cycles for level _24_3_1
ramulator.active_cycles_25,8523765,Total active cycles for level _25
ramulator.active_cycles_25_0,1281185,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,1232046,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,49417,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,4843129,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,4789919,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,54290,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,757039,Total active cycles for level _25_2
