Metric,Value
read_bandwidth_Bps,1021271276
write_bandwidth_Bps,8172245
total_bandwidth_Bps,1029443521
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.16085055015625
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,2.810182
queueing_latency_ns_avg,2.248145
row_hits,2850501
row_misses,7057923
row_conflicts,882396
row_hit_rate_perc,26.415981361935426
row_miss_rate_perc,65.4067346133102
row_conflict_rate_perc,8.177284024754375
avg_req_queue_length,0.141685
total_active_cycles_rw,439971706
dram_cycles_simulated,3354300000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,69200940
read_requests_total,10705160
write_requests_total,85663
