Metric,Value
read_bandwidth_Bps,1022440755
write_bandwidth_Bps,8189451
total_bandwidth_Bps,1030630206
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.1610359696875
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,3.1965
queueing_latency_ns_avg,2.5572
row_hits,2879782
row_misses,7033918
row_conflicts,879446
row_hit_rate_perc,26.681581070060574
row_miss_rate_perc,65.17022932887222
row_conflict_rate_perc,8.148189601067196
avg_req_queue_length,0.142636
total_active_cycles_rw,438748034
dram_cycles_simulated,3351160000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,69131827
read_requests_total,10707383
write_requests_total,85763
