Metric,Value
read_bandwidth_Bps,1013828294
write_bandwidth_Bps,8186839
total_bandwidth_Bps,1022015133
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.15968986453125
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,2.861212
queueing_latency_ns_avg,2.288969
row_hits,2772165
row_misses,7055789
row_conflicts,881008
row_hit_rate_perc,25.886402435642218
row_miss_rate_perc,65.8867684841911
row_conflict_rate_perc,8.226829080166686
avg_req_queue_length,0.141055
total_active_cycles_rw,437774172
dram_cycles_simulated,3353050000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,69169920
read_requests_total,10623183
write_requests_total,85784
