Metric,Value
read_bandwidth_Bps,34703683
write_bandwidth_Bps,20894421
total_bandwidth_Bps,55598104
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.00868720375
read_latency_avg_cycles,84.789478
read_latency_ns_avg,67.831582
queueing_latency_avg_cycles,5.523017
queueing_latency_ns_avg,4.418414
row_hits,149298
row_misses,432475
row_conflicts,12160
row_hit_rate_perc,25.13717877268985
row_miss_rate_perc,72.81545224798083
row_conflict_rate_perc,2.0473689793293186
avg_req_queue_length,0.013468
total_active_cycles_rw,29033988
dram_cycles_simulated,3418436000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,71421057
read_requests_total,370726
write_requests_total,223207
