Metric,Value
read_bandwidth_Bps,1720982391
write_bandwidth_Bps,143930490
total_bandwidth_Bps,1864912881
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.29139263765625
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,4.171983
queueing_latency_ns_avg,3.337586
row_hits,10069866
row_misses,12114397
row_conflicts,1760927
row_hit_rate_perc,42.053815400921856
row_miss_rate_perc,50.592194089919516
row_conflict_rate_perc,7.353990509158624
avg_req_queue_length,0.247701
total_active_cycles_rw,787495851
dram_cycles_simulated,4108750000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,145388109
read_requests_total,22097147
write_requests_total,1848045
