Metric,Value,Description
ramulator.active_cycles_0,61868431,Total active cycles for level _0
ramulator.active_cycles_0_0,10651477,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,5850050,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,4807686,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,19245094,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,13691338,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,5560750,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,10597244,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,9425663,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,1177143,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,21863386,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,19746132,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,2125075,Total active cycles for level _0_3_1
ramulator.active_cycles_1,42262374,Total active cycles for level _1
ramulator.active_cycles_10,37470831,Total active cycles for level _10
ramulator.active_cycles_10_0,8647961,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,7315083,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,1345055,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,13134959,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,8124169,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,5022545,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,6117103,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,2912528,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,3213666,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,10047336,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,9008276,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,1050241,Total active cycles for level _10_3_1
ramulator.active_cycles_11,14083751,Total active cycles for level _11
ramulator.active_cycles_11_0,3423588,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,2214872,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,1226923,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,4448459,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,2209866,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,2256034,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,4416749,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,2254871,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,2177442,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,2192055,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,1147707,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,1060818,Total active cycles for level _11_3_1
ramulator.active_cycles_12,18080272,Total active cycles for level _12
ramulator.active_cycles_12_0,5625557,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,4371310,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,1268327,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,3308061,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,1136682,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,2183840,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,5728794,Total active cycles for level _12_2
