Metric,Value
read_bandwidth_Bps,1720901956
write_bandwidth_Bps,143923482
total_bandwidth_Bps,1864825438
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.2913789746875
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,4.180976
queueing_latency_ns_avg,3.344781
row_hits,10067778
row_misses,12116141
row_conflicts,1760731
row_hit_rate_perc,42.04604368825604
row_miss_rate_perc,50.600618509771486
row_conflict_rate_perc,7.353337801972466
avg_req_queue_length,0.247699
total_active_cycles_rw,787376962
dram_cycles_simulated,4108850000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,145393431
read_requests_total,22096653
write_requests_total,1848000
