Metric,Value,Description
ramulator.active_cycles_0,61874841,Total active cycles for level _0
ramulator.active_cycles_0_0,10667112,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,5864552,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,4808748,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,19231064,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,13683440,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,5554667,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,10589449,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,9424116,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,1170976,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,21877323,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,19760048,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,2125216,Total active cycles for level _0_3_1
ramulator.active_cycles_1,42243559,Total active cycles for level _1
ramulator.active_cycles_10,37496046,Total active cycles for level _10
ramulator.active_cycles_10_0,8652187,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,7312164,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,1352763,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,13158365,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,8139129,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,5031427,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,6127634,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,2916438,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,3220906,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,10039608,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,8998305,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,1053228,Total active cycles for level _10_3_1
ramulator.active_cycles_11,14138816,Total active cycles for level _11
ramulator.active_cycles_11_0,3439066,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,2222966,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,1234850,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,4479564,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,2219321,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,2277846,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,4406034,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,2237912,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,2183917,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,2207974,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,1154961,Total active cycles for level _11_3_0
