Metric,Value
read_bandwidth_Bps,1721141722
write_bandwidth_Bps,143976400
total_bandwidth_Bps,1865118122
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.29142470656249997
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,4.162569
queueing_latency_ns_avg,3.330055
row_hits,10070439
row_misses,12111443
row_conflicts,1764253
row_hit_rate_perc,42.05454867768849
row_miss_rate_perc,50.57786152128517
row_conflict_rate_perc,7.3675898010263445
avg_req_queue_length,0.247737
total_active_cycles_rw,788015626
dram_cycles_simulated,4108460000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,145394641
read_requests_total,22097634
write_requests_total,1848506
