Metric,Value
read_bandwidth_Bps,1720937175
write_bandwidth_Bps,143925780
total_bandwidth_Bps,1864862955
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.29138483671875004
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,4.186358
queueing_latency_ns_avg,3.349087
row_hits,10066548
row_misses,12116906
row_conflicts,1761736
row_hit_rate_perc,42.03995875580858
row_miss_rate_perc,50.60267218593797
row_conflict_rate_perc,7.357369058253453
avg_req_queue_length,0.247695
total_active_cycles_rw,787244491
dram_cycles_simulated,4108860000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,145397028
read_requests_total,22097157
write_requests_total,1848034
