Metric,Value
read_bandwidth_Bps,150254535
write_bandwidth_Bps,72129558
total_bandwidth_Bps,222384093
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.03474751453125
read_latency_avg_cycles,82.312494
read_latency_ns_avg,65.849995
queueing_latency_avg_cycles,6.699328
queueing_latency_ns_avg,5.359462
row_hits,2031052
row_misses,2093239
row_conflicts,69554
row_hit_rate_perc,48.42935301614628
row_miss_rate_perc,49.91216890466863
row_conflict_rate_perc,1.6584780791850915
avg_req_queue_length,0.052563
total_active_cycles_rw,194496579
dram_cycles_simulated,6034741000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,132464363
read_requests_total,2833585
write_requests_total,1360260
