Metric,Value,Description
ramulator.active_cycles_0,13392751,Total active cycles for level _0
ramulator.active_cycles_0_0,3571562,Total active cycles for level _0_0
ramulator.active_cycles_0_0_0,2003751,Total active cycles for level _0_0_0
ramulator.active_cycles_0_0_1,1569457,Total active cycles for level _0_0_1
ramulator.active_cycles_0_1,3145633,Total active cycles for level _0_1
ramulator.active_cycles_0_1_0,857448,Total active cycles for level _0_1_0
ramulator.active_cycles_0_1_1,2290590,Total active cycles for level _0_1_1
ramulator.active_cycles_0_2,3998045,Total active cycles for level _0_2
ramulator.active_cycles_0_2_0,2017317,Total active cycles for level _0_2_0
ramulator.active_cycles_0_2_1,1983777,Total active cycles for level _0_2_1
ramulator.active_cycles_0_3,2868908,Total active cycles for level _0_3
ramulator.active_cycles_0_3_0,836283,Total active cycles for level _0_3_0
ramulator.active_cycles_0_3_1,2035139,Total active cycles for level _0_3_1
ramulator.active_cycles_1,18601897,Total active cycles for level _1
ramulator.active_cycles_10,6547129,Total active cycles for level _10
ramulator.active_cycles_10_0,1679483,Total active cycles for level _10_0
ramulator.active_cycles_10_0_0,842167,Total active cycles for level _10_0_0
ramulator.active_cycles_10_0_1,838845,Total active cycles for level _10_0_1
ramulator.active_cycles_10_1,1699627,Total active cycles for level _10_1
ramulator.active_cycles_10_1_0,863028,Total active cycles for level _10_1_0
ramulator.active_cycles_10_1_1,838295,Total active cycles for level _10_1_1
ramulator.active_cycles_10_2,1684395,Total active cycles for level _10_2
ramulator.active_cycles_10_2_0,843789,Total active cycles for level _10_2_0
ramulator.active_cycles_10_2_1,842672,Total active cycles for level _10_2_1
ramulator.active_cycles_10_3,1690734,Total active cycles for level _10_3
ramulator.active_cycles_10_3_0,848224,Total active cycles for level _10_3_0
ramulator.active_cycles_10_3_1,845132,Total active cycles for level _10_3_1
ramulator.active_cycles_11,6550510,Total active cycles for level _11
ramulator.active_cycles_11_0,1680194,Total active cycles for level _11_0
ramulator.active_cycles_11_0_0,840986,Total active cycles for level _11_0_0
ramulator.active_cycles_11_0_1,841523,Total active cycles for level _11_0_1
ramulator.active_cycles_11_1,1709572,Total active cycles for level _11_1
ramulator.active_cycles_11_1_0,869775,Total active cycles for level _11_1_0
ramulator.active_cycles_11_1_1,842452,Total active cycles for level _11_1_1
ramulator.active_cycles_11_2,1693418,Total active cycles for level _11_2
ramulator.active_cycles_11_2_0,850311,Total active cycles for level _11_2_0
ramulator.active_cycles_11_2_1,845597,Total active cycles for level _11_2_1
ramulator.active_cycles_11_3,1687567,Total active cycles for level _11_3
ramulator.active_cycles_11_3_0,842424,Total active cycles for level _11_3_0
ramulator.active_cycles_11_3_1,847418,Total active cycles for level _11_3_1
ramulator.active_cycles_12,6599969,Total active cycles for level _12
ramulator.active_cycles_12_0,1679560,Total active cycles for level _12_0
ramulator.active_cycles_12_0_0,841362,Total active cycles for level _12_0_0
ramulator.active_cycles_12_0_1,841801,Total active cycles for level _12_0_1
ramulator.active_cycles_12_1,1705269,Total active cycles for level _12_1
ramulator.active_cycles_12_1_0,867775,Total active cycles for level _12_1_0
ramulator.active_cycles_12_1_1,840942,Total active cycles for level _12_1_1
ramulator.active_cycles_12_2,1697862,Total active cycles for level _12_2
ramulator.active_cycles_12_2_0,849822,Total active cycles for level _12_2_0
ramulator.active_cycles_12_2_1,851874,Total active cycles for level _12_2_1
ramulator.active_cycles_12_3,1687393,Total active cycles for level _12_3
ramulator.active_cycles_12_3_0,842763,Total active cycles for level _12_3_0
ramulator.active_cycles_12_3_1,847974,Total active cycles for level _12_3_1
ramulator.active_cycles_13,6617483,Total active cycles for level _13
ramulator.active_cycles_13_0,1669218,Total active cycles for level _13_0
ramulator.active_cycles_13_0_0,835624,Total active cycles for level _13_0_0
ramulator.active_cycles_13_0_1,836444,Total active cycles for level _13_0_1
ramulator.active_cycles_13_1,1709649,Total active cycles for level _13_1
ramulator.active_cycles_13_1_0,876373,Total active cycles for level _13_1_0
ramulator.active_cycles_13_1_1,836945,Total active cycles for level _13_1_1
ramulator.active_cycles_13_2,1688246,Total active cycles for level _13_2
ramulator.active_cycles_13_2_0,846002,Total active cycles for level _13_2_0
ramulator.active_cycles_13_2_1,845409,Total active cycles for level _13_2_1
ramulator.active_cycles_13_3,1677494,Total active cycles for level _13_3
ramulator.active_cycles_13_3_0,838824,Total active cycles for level _13_3_0
ramulator.active_cycles_13_3_1,841267,Total active cycles for level _13_3_1
ramulator.active_cycles_14,6627872,Total active cycles for level _14
ramulator.active_cycles_14_0,1686891,Total active cycles for level _14_0
ramulator.active_cycles_14_0_0,851940,Total active cycles for level _14_0_0
ramulator.active_cycles_14_0_1,844587,Total active cycles for level _14_0_1
ramulator.active_cycles_14_1,1715256,Total active cycles for level _14_1
ramulator.active_cycles_14_1_0,887141,Total active cycles for level _14_1_0
ramulator.active_cycles_14_1_1,838171,Total active cycles for level _14_1_1
ramulator.active_cycles_14_2,1678456,Total active cycles for level _14_2
ramulator.active_cycles_14_2_0,839642,Total active cycles for level _14_2_0
ramulator.active_cycles_14_2_1,848800,Total active cycles for level _14_2_1
ramulator.active_cycles_14_3,1683636,Total active cycles for level _14_3
ramulator.active_cycles_14_3_0,846669,Total active cycles for level _14_3_0
ramulator.active_cycles_14_3_1,848010,Total active cycles for level _14_3_1
ramulator.active_cycles_15,9454981,Total active cycles for level _15
ramulator.active_cycles_15_0,2373986,Total active cycles for level _15_0
ramulator.active_cycles_15_0_0,839026,Total active cycles for level _15_0_0
ramulator.active_cycles_15_0_1,1538444,Total active cycles for level _15_0_1
ramulator.active_cycles_15_1,3125215,Total active cycles for level _15_1
ramulator.active_cycles_15_1_0,2292610,Total active cycles for level _15_1_0
ramulator.active_cycles_15_1_1,836050,Total active cycles for level _15_1_1
ramulator.active_cycles_15_2,1675661,Total active cycles for level _15_2
ramulator.active_cycles_15_2_0,835568,Total active cycles for level _15_2_0
ramulator.active_cycles_15_2_1,843094,Total active cycles for level _15_2_1
ramulator.active_cycles_15_3,2408578,Total active cycles for level _15_3
ramulator.active_cycles_15_3_0,838540,Total active cycles for level _15_3_0
ramulator.active_cycles_15_3_1,1572903,Total active cycles for level _15_3_1
ramulator.active_cycles_16,6606543,Total active cycles for level _16
ramulator.active_cycles_16_0,1705397,Total active cycles for level _16_0
ramulator.active_cycles_16_0_0,857066,Total active cycles for level _16_0_0
ramulator.active_cycles_16_0_1,850178,Total active cycles for level _16_0_1
ramulator.active_cycles_16_1,1702018,Total active cycles for level _16_1
ramulator.active_cycles_16_1_0,870586,Total active cycles for level _16_1_0
ramulator.active_cycles_16_1_1,833261,Total active cycles for level _16_1_1
ramulator.active_cycles_16_2,1692564,Total active cycles for level _16_2
ramulator.active_cycles_16_2_0,838710,Total active cycles for level _16_2_0
ramulator.active_cycles_16_2_1,855998,Total active cycles for level _16_2_1
ramulator.active_cycles_16_3,1692284,Total active cycles for level _16_3
ramulator.active_cycles_16_3_0,849516,Total active cycles for level _16_3_0
ramulator.active_cycles_16_3_1,844267,Total active cycles for level _16_3_1
ramulator.active_cycles_17,9070209,Total active cycles for level _17
ramulator.active_cycles_17_0,2436834,Total active cycles for level _17_0
ramulator.active_cycles_17_0_0,1587347,Total active cycles for level _17_0_0
ramulator.active_cycles_17_0_1,852997,Total active cycles for level _17_0_1
ramulator.active_cycles_17_1,1720100,Total active cycles for level _17_1
ramulator.active_cycles_17_1_0,889263,Total active cycles for level _17_1_0
ramulator.active_cycles_17_1_1,834178,Total active cycles for level _17_1_1
ramulator.active_cycles_17_2,1686124,Total active cycles for level _17_2
ramulator.active_cycles_17_2_0,837463,Total active cycles for level _17_2_0
ramulator.active_cycles_17_2_1,852691,Total active cycles for level _17_2_1
ramulator.active_cycles_17_3,3363801,Total active cycles for level _17_3
ramulator.active_cycles_17_3_0,846471,Total active cycles for level _17_3_0
ramulator.active_cycles_17_3_1,2520945,Total active cycles for level _17_3_1
ramulator.active_cycles_18,7269361,Total active cycles for level _18
ramulator.active_cycles_18_0,1707239,Total active cycles for level _18_0
ramulator.active_cycles_18_0_0,852514,Total active cycles for level _18_0_0
ramulator.active_cycles_18_0_1,858610,Total active cycles for level _18_0_1
ramulator.active_cycles_18_1,1890324,Total active cycles for level _18_1
ramulator.active_cycles_18_1_0,1056680,Total active cycles for level _18_1_0
ramulator.active_cycles_18_1_1,837248,Total active cycles for level _18_1_1
ramulator.active_cycles_18_2,1680658,Total active cycles for level _18_2
ramulator.active_cycles_18_2_0,838596,Total active cycles for level _18_2_0
ramulator.active_cycles_18_2_1,845577,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,2140044,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,847137,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,1297669,Total active cycles for level _18_3_1
ramulator.active_cycles_19,6623301,Total active cycles for level _19
ramulator.active_cycles_19_0,1702267,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,848630,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,856116,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,1714369,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,877357,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,839263,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,1681429,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,842352,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,841047,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,1690791,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,850761,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,842048,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,6325661,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,2390728,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,3938212,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,2424095,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,860857,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,1566248,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,5911309,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,2259924,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,3654289,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,4075934,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,2465113,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,1614255,Total active cycles for level _1_3_1
ramulator.active_cycles_2,19126667,Total active cycles for level _2
ramulator.active_cycles_20,6584396,Total active cycles for level _20
