Metric,Value
read_bandwidth_Bps,982630136
write_bandwidth_Bps,143099454
total_bandwidth_Bps,1125729590
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.1758952484375
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,3.089988
queueing_latency_ns_avg,2.471991
row_hits,1366172
row_misses,4713204
row_conflicts,540899
row_hit_rate_perc,20.636182031713187
row_miss_rate_perc,71.19347761233483
row_conflict_rate_perc,8.170340355951982
avg_req_queue_length,0.160125
total_active_cycles_rw,233884148
dram_cycles_simulated,1881880000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,51850951
read_requests_total,5778726
write_requests_total,841550
