Metric,Value
read_bandwidth_Bps,982680227
write_bandwidth_Bps,143099123
total_bandwidth_Bps,1125779350
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.1759030234375
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,3.088878
queueing_latency_ns_avg,2.471103
row_hits,1365283
row_misses,4714097
row_conflicts,541258
row_hit_rate_perc,20.621622870786773
row_miss_rate_perc,71.203062303059
row_conflict_rate_perc,8.175314826154215
avg_req_queue_length,0.160118
total_active_cycles_rw,233914917
dram_cycles_simulated,1881900000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,51850091
read_requests_total,5779083
write_requests_total,841557
