Metric,Value
read_bandwidth_Bps,982770836
write_bandwidth_Bps,143103133
total_bandwidth_Bps,1125873969
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.17591780765625
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,3.08795
queueing_latency_ns_avg,2.47036
row_hits,1365661
row_misses,4714408
row_conflicts,541231
row_hit_rate_perc,20.625269962092034
row_miss_rate_perc,71.20064035763369
row_conflict_rate_perc,8.174089680274266
avg_req_queue_length,0.160154
total_active_cycles_rw,233951254
dram_cycles_simulated,1881930000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,51848268
read_requests_total,5779708
write_requests_total,841594
