Metric,Value
read_bandwidth_Bps,725240795
write_bandwidth_Bps,32364648
total_bandwidth_Bps,757605443
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.11837585046874999
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,3.39275
queueing_latency_ns_avg,2.7142
row_hits,4839574
row_misses,29561984
row_conflicts,1967457
row_hit_rate_perc,13.306860249033415
row_miss_rate_perc,81.2834331641921
row_conflict_rate_perc,5.409706586774483
avg_req_queue_length,0.111549
total_active_cycles_rw,1339878983
dram_cycles_simulated,15361670000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,370694331
read_requests_total,34815347
write_requests_total,1553672
